id,Current Institution/ Department,Current Job Title,empl status,is_curerent,Office GPS ( Longitude),Office GPS (Latitude),Timestamp,updated,District (Current),Level of Health System (National/ Regional/ District) ,Region  (Current),usedid,userprio
1,"Ghana health service , Upper West regional health Directorate.",Senior Public health Officer,,no,301,336,2020/08/31 5:10:29 PM GMT,,225,2,13,1,
2,"Regional Health Directorate, Upper East",Health Information Officer,,no,-0.8587743,10.7964868,2020/08/31 5:24:51 PM GMT,,70,2,12,2,
3,Regional Health Directorate - Ghana Health Service,Regional Disease Control Officer/EPI,,no,0.836797,9.404374,2020/08/31 8:36:34 PM GMT,,207,2,9,3,
5,"District Water and Sanitation Unit, Bongo",Environmental Health Officer,,no,10.91411,-0.806888,2020/09/01 9:47:17 AM GMT,,71,3,12,5,
6,Bawku Presbyterian Hospital/Bawku Municipal Health Directorate (GHS), Disease control officer,,no,2333234,110600281,2020/09/01 4:46:51 PM GMT,,57,3,12,6,
7,GHS,District Health Promotion Officer,,no,11822,102715,2020/09/01 4:49:18 PM GMT,,75,3,12,7,
9,VSD,District veterinary officer,,no,949.365,240.116,2020/09/02 12:55:42 PM GMT,,226,3,13,9,
12,Ghana Health Service,Health Information Officer,,no,-0.857249,10.794019,2020/09/02 3:18:04 PM GMT,,70,3,12,12,
13,"GHS, District Health Directorate",Disease control officer,,no,1.101179,10.969123,2020/09/02 3:50:48 PM GMT,,114,3,12,13,
14,Ghana Health Service,Disease Control Officer,,no,10.794218,-0.85731,2020/09/02 5:07:17 PM GMT,,70,3,12,14,
15,Disease control unit ,Disease control officer,,no,0.51,10.4718,2020/09/03 9:37:35 AM GMT,,70,3,12,15,
16,BAWKU PRESBYTERIAN HOSPITAL,PRINCIPAL TECHNICAL OFFICER (MEDICAL LABORATORY),,no,0.231338,11.063115,2020/09/03 5:40:10 PM GMT,,57,3,12,16,
17,Bawku Municipal veterinary office/Agriculture,Technical officer veterinary department,,no,247635,11051682,2020/09/03 9:16:52 PM GMT,,57,3,12,17,
18,FOOD AND DRUGS AUTHORITY,REGULATORY OFFICER,,no,10.058957,-2.497434,2020/09/03 9:39:33 PM GMT,,225,2,13,18,
