id,district,region_id
43,ASUNAFO NORTH,1
44,ASUNAFO SOUTH,1
46,ASUTIFI NORTH,1
47,ASUTIFI SOUTH,1
209,TANO NORTH,1
210,TANO SOUTH,1
5,ADANSI ASOKWA,2
270,ADANSI NORTH,2
6,ADANSI SOUTH,2
9,AFIGYA KWABRE NORTH,2
263,AFIGYA KWABRE SOUTH,2
13,AHAFO ANO NORTH,2
269,AHAFO ANO SOUTH EAST,2
14,AHAFO ANO SOUTH WEST,2
257,AKROFUOM,2
32,AMANSIE CENTRAL,2
33,AMANSIE SOUTH,2
268,AMANSIE WEST,2
35,ASANTE AKIM CENTRAL MUNICIPA,2
36,ASANTE AKIM NORTH,2
37,ASANTE AKIM SOUTH,2
40,ASOKORE MAMPONG,2
120,ASOKWA,2
50,ATWIMA KWANWOMA,2
51,ATWIMA MPONUA,2
255,ATWIMA NWABIAGYA NORTH,2
52,ATWIMA NWABIAGYA SOUTH,2
59,BEKWAI MUNICIPAL,2
72,BOSOME FREHO,2
73,BOSOMTWI,2
258,EJISU,2
90,EJURA SEKYE DUMASI,2
89,JUABEN,2
121,KMA-BANTAMA,2
123,KMA-MANHYIA NORTH,2
241,KMA-MANHYIA SOUTH,2
124,KMA-NHYIAESO,2
127,KMA-SUBIN,2
129,KOMENDA EDINA EGUAFO ABIREM,2
137,KWABRE EAST,2
122,KWADASO,2
150,MAMPONG MUNICIPAL,2
256,OBUASI EAST,2
171,OBUASI MUNICIPAL,2
172,OFFINSO,2
173,OFFINSO NORTH,2
125,OFORIKROM,2
128,OLD TAFO,2
185,SEKYERE AFRAM PLAINS,2
186,SEKYERE CENTRAL,2
187,SEKYERE EAST,2
184,SEKYERE KUMAWU,2
188,SEKYERE SOUTH,2
126,SUAME,2
56,BANDA,3
248,BEREKUM EAST,3
60,BEREKUM WEST,3
83,DORMAA EAST,3
84,DORMAA MUNICIPAL,3
85,DORMAA WEST,3
105,JAMAN NORTH,3
106,JAMAN SOUTH,3
203,SUNYANI MUNICIPAL,3
204,SUNYANI WEST,3
205,TAIN,3
231,WENCHI,3
48,ATEBUBU AMANTIN,4
118,KINTAMPO NORTH,4
119,KINTAMPO SOUTH,4
162,NKORANSA SOUTH,4
163,NKORANZA NORTH,4
242,PRU EAST,4
175,PRU WEST,4
189,SENE EAST,4
190,SENE WEST,4
213,TECHIMAN MUNICIPAL,4
214,TECHIMAN NORTH,4
1,ABURA / ASEBU / KWAMANKESE,5
10,AGONA EAST,5
11,AGONA WEST,5
16,AJUMAKO-ENYAN-ESIAM,5
39,ASIKUMAN / ODOBEN / BRAKWA,5
264,ASSIN FOSU,5
41,ASSIN NORTH,5
42,ASSIN SOUTH,5
53,AWUTU SENYA,5
54,AWUTU SENYA EAST,5
77,CCM - CAPE COAST NORTH,5
243,CCM - CAPE COAST SOUTH,5
88,EFFUTU,5
91,EKUMFI,5
261,GOMOA CENTRAL,5
99,GOMOA EAST,5
100,GOMOA WEST,5
152,MFANTSIMAN,5
218,TWIFO ATI MORKWA,5
219,TWIFO HEMAN LOWER DENKYIRA,5
220,UPPER DENKYIRA EAST,5
221,UPPER DENKYIRA WEST,5
266,ABUAKWA NORTH,6
86,ABUAKWA SOUTH,6
67,ACHIASE,6
259,AKWAPIM NORTH,6
20,AKWAPIM SOUTH,6
21,AKYEMANSA,6
65,ASENE MANSO AKROSO,6
45,ASUOGYAMAN,6
267,ATIWA EAST,6
49,ATIWA WEST,6
55,AYENSUANO,6
260,BIRIM CENTRAL,6
66,BIRIM NORTH,6
265,BIRIM SOUTH,6
82,DENKYEMBUOR,6
93,FANTEAKWA NORTH,6
262,FANTEAKWA SOUTH,6
138,KWAEBIBIREM,6
139,KWAHU AFRAM PLAINS NORTH,6
140,KWAHU AFRAM PLAINS SOUTH,6
141,KWAHU EAST,6
142,KWAHU SOUTH,6
143,KWAHU WEST,6
149,LOWER MANYA,6
160,NEW JUABEN NORTH,6
254,NEW JUABEN SOUTH,6
169,NSAWAM ADOAGYIRI,6
19,OKERE,6
202,SUHUM KRABOA COALTAR,6
222,UPPER MANYA KROBO,6
223,UPPER WEST AKIM,6
232,WEST AKIM,6
236,YILO KROBO,6
22,ABLEKUMA CENTRAL,7
23,ABLEKUMA NORTH,7
24,ABLEKUMA WEST,7
2,ADA EAST,7
